date,day,eventfromtime,dayname,entry,shoppingtime
02/03/2023,Thu,0:00:00,Thu,75,0
02/03/2023,Thu,1:00:00,Thu,5,0
02/03/2023,Thu,2:00:00,Thu,5,0
02/03/2023,Thu,3:00:00,Thu,3,0
02/03/2023,Thu,4:00:00,Thu,1,0
02/03/2023,Thu,5:00:00,Thu,4,0
02/03/2023,Thu,6:00:00,Thu,15,0
02/03/2023,Thu,7:00:00,Thu,91,11.93
02/03/2023,Thu,8:00:00,Thu,408,17.18
02/03/2023,Thu,9:00:00,Thu,797,28.52
02/03/2023,Thu,10:00:00,Thu,1252,37.9
02/03/2023,Thu,11:00:00,Thu,1434,47.76
02/03/2023,Thu,12:00:00,Thu,1570,54.99
02/03/2023,Thu,13:00:00,Thu,1486,60.79
02/03/2023,Thu,14:00:00,Thu,1437,63.22
02/03/2023,Thu,15:00:00,Thu,1412,63.01
02/03/2023,Thu,16:00:00,Thu,1708,58.86
02/03/2023,Thu,17:00:00,Thu,1823,56.66
02/03/2023,Thu,18:00:00,Thu,2052,58.5
02/03/2023,Thu,19:00:00,Thu,2005,59.72
02/03/2023,Thu,20:00:00,Thu,1512,68.1
02/03/2023,Thu,21:00:00,Thu,1212,73.73
02/03/2023,Thu,22:00:00,Thu,373,84.17
02/03/2023,Thu,23:00:00,Thu,185,102.6
03/03/2023,Fri,0:00:00,Fri,162,0
03/03/2023,Fri,1:00:00,Fri,107,0
03/03/2023,Fri,2:00:00,Fri,95,0
03/03/2023,Fri,3:00:00,Fri,2,0
03/03/2023,Fri,4:00:00,Fri,7,0
03/03/2023,Fri,5:00:00,Fri,13,0
03/03/2023,Fri,6:00:00,Fri,28,0
03/03/2023,Fri,7:00:00,Fri,79,254.99
03/03/2023,Fri,8:00:00,Fri,754,19.54
03/03/2023,Fri,9:00:00,Fri,2214,22.52
03/03/2023,Fri,10:00:00,Fri,2436,39.3
03/03/2023,Fri,11:00:00,Fri,2394,51.87
03/03/2023,Fri,12:00:00,Fri,2576,56.52
03/03/2023,Fri,13:00:00,Fri,2418,59.35
03/03/2023,Fri,14:00:00,Fri,1273,67.28
03/03/2023,Fri,15:00:00,Fri,510,65.1
03/03/2023,Fri,16:00:00,Fri,351,19.62
03/03/2023,Fri,17:00:00,Fri,202,5.87
03/03/2023,Fri,18:00:00,Fri,299,11.58
03/03/2023,Fri,19:00:00,Fri,337,8.81
03/03/2023,Fri,20:00:00,Fri,186,26.15
03/03/2023,Fri,21:00:00,Fri,588,22.04
03/03/2023,Fri,22:00:00,Fri,237,34.34
03/03/2023,Fri,23:00:00,Fri,238,61.07
04/03/2023,Sat,0:00:00,Sat,132,0
04/03/2023,Sat,1:00:00,Sat,26,0
04/03/2023,Sat,2:00:00,Sat,6,0
04/03/2023,Sat,3:00:00,Sat,0,0
04/03/2023,Sat,4:00:00,Sat,0,0
04/03/2023,Sat,5:00:00,Sat,0,0
04/03/2023,Sat,6:00:00,Sat,0,0
04/03/2023,Sat,7:00:00,Sat,0,0
04/03/2023,Sat,8:00:00,Sat,0,0
04/03/2023,Sat,9:00:00,Sat,0,0
04/03/2023,Sat,10:00:00,Sat,0,0
04/03/2023,Sat,11:00:00,Sat,0,0
04/03/2023,Sat,12:00:00,Sat,0,0
04/03/2023,Sat,13:00:00,Sat,0,0
04/03/2023,Sat,14:00:00,Sat,0,0
04/03/2023,Sat,15:00:00,Sat,0,0
04/03/2023,Sat,16:00:00,Sat,0,0
04/03/2023,Sat,17:00:00,Sat,0,0
04/03/2023,Sat,18:00:00,Sat,0,0
04/03/2023,Sat,19:00:00,Sat,0,0
04/03/2023,Sat,20:00:00,Sat,0,0
04/03/2023,Sat,21:00:00,Sat,0,0
04/03/2023,Sat,22:00:00,Sat,0,0
04/03/2023,Sat,23:00:00,Sat,0,0
05/03/2023,Sun,0:00:00,Sun,191,0
05/03/2023,Sun,1:00:00,Sun,76,0
05/03/2023,Sun,2:00:00,Sun,71,0
05/03/2023,Sun,3:00:00,Sun,15,0
05/03/2023,Sun,4:00:00,Sun,6,0
05/03/2023,Sun,5:00:00,Sun,8,0
05/03/2023,Sun,6:00:00,Sun,15,0
05/03/2023,Sun,7:00:00,Sun,49,283.16
05/03/2023,Sun,8:00:00,Sun,280,59.87
05/03/2023,Sun,9:00:00,Sun,756,13.71
05/03/2023,Sun,10:00:00,Sun,1205,27.39
05/03/2023,Sun,11:00:00,Sun,1414,39.33
05/03/2023,Sun,12:00:00,Sun,1633,47.61
05/03/2023,Sun,13:00:00,Sun,1573,53.6
05/03/2023,Sun,14:00:00,Sun,1423,58.31
05/03/2023,Sun,15:00:00,Sun,1344,61.88
05/03/2023,Sun,16:00:00,Sun,1502,61.45
05/03/2023,Sun,17:00:00,Sun,1647,59.97
05/03/2023,Sun,18:00:00,Sun,1676,60.43
05/03/2023,Sun,19:00:00,Sun,1559,62.77
05/03/2023,Sun,20:00:00,Sun,1452,66.34
05/03/2023,Sun,21:00:00,Sun,862,73.54
05/03/2023,Sun,22:00:00,Sun,189,93.15
